"TIPO";"PERIODO";"CO_ANO";"CO_PAIS";"NO_PAIS";"CO_PAIS_ISOA3";"NO_PPE_PPI";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Abacaxis frescos ou secos";"Produtos Básicos";224732;459504
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Abrasivos e pedras para amolar e semelhantes";"Produtos Manufaturados";4418549;575528
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aceleradores de reação e preparações catalíticas";"Produtos Manufaturados";3664441;85252
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Acetatos,nitratos, éteres de celulose e outs. derivados";"Produtos Manufaturados";1665833;485206
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Ácidos carboxílicos, seus anidridos, halogenetos, etc.";"Produtos Manufaturados";11849462;9953903
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Açúcar refinado";"Produtos Manufaturados";2550;3000
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aditivos para óleos lubrificantes";"Produtos Manufaturados";5507629;1544141
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Adubos ou fertiliz.cont. nitrogênio, fosforo e potássio";"Produtos Manufaturados";1535883;5813178
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Álcoóis acíclicos e seus derivados halogenados, etc.";"Produtos Manufaturados";3645652;3926183
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Algodão em bruto";"Produtos Básicos";2577584;1529457
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Alumínio em bruto";"Produtos Semimanufaturados";97462;39827
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Alumínio, em barras, perfis, fios,chapas,folhas e tiras";"Produtos Manufaturados";14271017;4200400
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Antibióticos";"Produtos Manufaturados";196933;6927
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos de fotocópia e de termocópia";"Produtos Manufaturados";638646;10525
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos e dispositivos eletr. de ignição ou arranque";"Produtos Manufaturados";16752873;763028
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos eletr.de iluminação ou sinaliz. p/ automóveis";"Produtos Manufaturados";15190292;579181
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos eletr.de sinaliz.controle,etc. p/vias férreas";"Produtos Manufaturados";1826380;2089
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos eletro-mecânicos ou térmicos,de uso doméstico";"Produtos Manufaturados";5223415;539410
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos mecânicos p/projetar/pulverizar líquidos/pós";"Produtos Manufaturados";11312577;1078112
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos p/cozinhar,aquecedores de pratos, suas partes";"Produtos Manufaturados";387656;97913
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos p/interrupção,proteção de energia,suas partes";"Produtos Manufaturados";15467180;726612
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aparelhos transmissores ou receptores e componentes";"Produtos Manufaturados";7208190;143697
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Aquecedor, secador ou trocador de calor, partes e pecas";"Produtos Manufaturados";4893170;460951
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Ardósia natural e obras de ardósia";"Produtos Manufaturados";84656;271891
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Armações e cabos de ferramentas ou vassouras,de madeira";"Produtos Manufaturados";4908;2759
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Arroz em grãos, inclusive arroz quebrado";"Produtos Básicos";23400;52000
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Artefatos p/uso doméstico,de ferro fundido,ferro ou aço";"Produtos Manufaturados";680906;102497
"EXPORTAÇÕES";"Jan-Abr";"2017";"063";"Argentina";"ARG";"Artefatos para uso doméstico, de alumínio";"Produtos Manufaturados";2595352;248531
